id,name,property_type,accommodates,review_scores_rating
15509,Sleep at the CozySuite Sanctuary,Apartment,2,73
2515,Stay at Chez Chic budget room #1,Apartment,3,93
2539,Clean and quiet apt home by the park,Apartment,4,98
2595,Skylit Midtown Castle,Apartment,2,95
15729,Village Green,House,4,79
3330,++ Brooklyn Penthouse Guestroom ++,Apartment,2,98
16326,Comfortable 4-bedroom apt in family house.,Condominium,8,99
3647,THE VILLAGE OF HARLEM....NEW YORK !,Apartment,2,
3831,Cozy Entire Floor of Brownstone,Guest suite,3,91
16338,Double Room w Private Deck Clinton Hill Best Area,Apartment,2,92
5022,Entire Apt: Spacious Studio Loft by central park,Apartment,1,95
16421,Your Heaven in Hells Kitchen,Apartment,1,89
16458,Light-filled 2B duplex in the heart of Park Slope!,Apartment,4,100
16580,Sunny; Modern room in East Village!,Apartment,2,95
16595,The Deck Loft - Full Floor - 1 Bedroom - 6 Windows,Loft,3,92
16821,Large Room in Amazing East Village Apt,Apartment,1,93
5099,Large Cozy 1 BR Apartment In Midtown East,Apartment,2,88
5121,BlissArtsSpace!,Apartment,2,90
16885,[1524-S] Lux Midtown East Studios - Walk to UN,Apartment,2,80
16974,SpaHa Loft: Enormous and Bright,Loft,8,96
5172,Quiet Slice of Manhattan,Apartment,2,94
5178,Large Furnished Room Near B'way ,Apartment,2,84
16990,Sleep at the CozySuite Pinacle,Apartment,2,90
5203,Cozy Clean Guest Room - Family Apt,Apartment,1,98
17092,Cool Room in Hell's Kitchen,Apartment,1,88
5216,Super Large APT,Apartment,4,82
17240,Stay at the CozySuite Citadelle,Apartment,2,79
17297,Modern Brownstone living1,Apartment,12,80
5238,Cute and Cozy Lower East Side 1 bdrm,Apartment,3,93
17298,Modern Brownstone living3,Apartment,6,86
5295,Beautiful 1br on Upper West Side,Apartment,2,94
17299,Modern Brownstone living4,Apartment,8,82
17453,Couch for female in LES apartment,Apartment,1,
5803,Lovely Room 1; Garden; Best Area; Legal rental,Townhouse,2,93
17693,HARLEM; NEW YORK WELCOMES YOU!!,Apartment,2,97
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Apartment,1,92
17747,BLUE TRIM GUEST HOUSE,Apartment,2,98
6090,West Village Nest - Superhost,Apartment,1,97
18127,Charming East Village One Bedroom Flat,Apartment,2,97
6848,Only 2 stops to Manhattan studio,Apartment,3,91
18195,King of Queens with Private Bathroom,Condominium,2,99
18198,Little King of Queens,Apartment,2,100
18590,Fort Greene Retreat on the Park,Apartment,2,97
6990,UES Beautiful Blue Room or Oak Room,Apartment,1,98
18728,Beautiful Meatpacking District Loft,Loft,3,99
7064,Bright calm peaceful loft; amazing location; Wburg,Loft,1,97
18764,Cozy 2 BR in Williamsburg,Apartment,4,89
7097,Perfect for Your Parents + Garden,Apartment,4,97
19050,Daybed in Open Livingroom in Harlem,Apartment,1,100
7241,Adorable; tons of light; Meatpacking,Apartment,2,92
7322,Chelsea Perfect,Apartment,3,96
7726,Hip Historic Brownstone Apartment with Backyard,Townhouse,3,95
7801,Sweet and Spacious Brooklyn Loft,Loft,4,98
7970,Chic Chelsea,Apartment,2,83
19159,Spacious luminous apt Upper West NYC,Apartment,4,94
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Bed and breakfast,4,93
8025,CBG Helps Haiti Room#2.5,Townhouse,2,95
8110,CBG Helps Haiti Rm #2,Bed and breakfast,3,91
19169,Entire 2 Bedroom - Large and Sunny,Apartment,4,87
19174,DUPLEX TERRACE in CHELSEA,Apartment,4,93
19282,Sunny; Spacious Top Floor Haven,Apartment,4,93
19319,Private room Long Term Rental,Apartment,1,98
19601,perfect for a family or small group,Apartment,8,93
8225,Stay at Chez Chic budget Room #2,Apartment,3,92
19812,2 bedroom Williamsburg Apt - Bedford L stop,Apartment,2,90
20299,Oh glorious spring!,Apartment,1,92
20300,Great Location for NYC,Apartment,2,60
20565,[1524] Lux 1 BRs-10 Minute Walk to UN Headquarters,Serviced apartment,2,
8343,Quiet; Spacious 3BR; 1.5 BA EV apt w-yard,Condominium,7,97
20611,Cozy Bedroom in Williamsburg 3 BR,Apartment,2,94
20717,Room in Brownstone B-Q feet away,House,2,98
8490,MAISON DES SIRENES1;bohemian apartment,Loft,5,95
20724,Sunny room+Pvte office in huge loft,Apartment,1,90
8505,Sunny Bedroom Across Prospect Park,Condominium,2,100
8700,Magnifique Suite au N de Manhattan - vue Cloitres,Apartment,2,
20734,Spacious Prospect Heights Apartment,Townhouse,4,99
9357,Midtown Pied-a-terre,Apartment,2,90
